Time,Abundance
45.31238,311.1722
45.32048,404.5571
45.32858,492.7298
45.33668,589.2631
45.34478,664.9498
45.35288,708.9247
45.36098,713.2603
45.36908,697.1803
45.37718,639.6472
45.38528,583.3531
45.39338,494.543
45.40148,435.6054
45.4096,369.6448
45.4177,317.6326
45.4258,264.1544
45.4339,225.9802
45.442,191.9834
45.4501,172.7781
45.4582,153.6963
45.4663,135.4226
45.4744,123.6086
45.4825,115.688
45.4906,114.9859
45.4987,104.2805
45.5068,104.6353
45.5149,99.69492
45.523,100.4467
45.5311,105.2301
45.5392,99.15813
45.5473,99.86378
45.5554,100.2744
45.5635,89.3735
45.57165,104.4112
45.58178,100.0777
45.59192,90.067
45.60205,85.25989
45.61218,81.62202
45.62232,84.13124
45.63245,79.36462
45.64258,81.32045
45.65272,79.45374
45.66285,79.42966
45.67298,78.11221
45.68312,78.15141
45.69325,73.44548
45.70338,84.23369
45.71352,85.71571
45.72365,101.1817
45.7338,122.7713
45.74393,170.757
45.75407,226.7199
45.7642,319.9768
45.77433,419.8653
45.78447,535.9846
45.7946,613.0483
45.80473,692.0124
45.81487,721.8315
45.825,689.6361
45.83513,605.007
45.84527,503.3708
45.8554,381.8018
45.86553,288.3133
45.87567,229.5688
45.8858,200.3107
45.89593,190.2924
45.90607,220.8534
45.9162,292.8581
45.92633,377.3261
45.93647,462.9973
45.94662,564.4721
45.95675,659.2677
45.96688,721.439
45.97702,727.5639
45.98715,712.3828
45.99728,651.8121
46.00742,599.5602
46.01755,508.597
46.02768,426.3351
46.03782,360.0637
46.04795,296.3095
46.05808,248.5217
46.06822,212.1431
46.07835,191.5487
46.08848,166.7993
46.09862,149.8793
46.10875,143.5077
46.11888,136.2628
46.12902,124.1514
46.13915,116.7268
46.14928,117.4596
46.15943,105.5605
46.16957,103.3437
46.1797,102.6545
46.18983,103.1027
46.19997,99.23567
46.2101,89.81783
46.22023,89.21235
46.23037,87.86842
46.2405,86.73524
46.25063,86.76036
46.26077,83.75368
46.2709,84.45178
46.28103,83.63206
46.29117,81.51924
46.3013,80.68707
46.31143,78.9286
46.32157,78.29816
46.3317,78.48518
46.34183,81.76552
46.35197,77.60707
46.3621,77.43712
46.37225,81.75352
46.38238,81.10548
46.39252,81.14209
46.40265,79.70933
46.41278,83.63734
46.42292,85.04747
46.43305,80.1852
46.44318,84.12627
46.45332,85.32507
46.46345,83.27965
46.47358,83.92498
46.48372,82.13592
46.49385,82.4971
46.50398,82.01945
46.51412,80.15881
46.52425,78.32404
46.53438,80.21561
46.54452,75.95934
46.55465,80.383
46.56478,75.97959
46.57492,77.45569
46.58507,77.46774
46.5952,72.24689
46.60533,71.0983
46.61547,75.33553
46.6256,78.63377
46.63573,79.46204
46.64587,76.48205
46.656,79.57462
46.66613,80.07956
46.67627,82.37741
46.6864,76.55937
46.69653,78.93538
46.70667,75.37917
46.7168,77.67031
46.72693,76.57079
46.73707,81.83505
46.7472,76.51907
46.75733,77.74933
46.76747,79.29526
46.7776,84.60254
46.78773,81.26146
46.79788,84.07254
46.80802,81.90887
46.81815,82.30664
46.82828,78.03767
46.83842,81.81736
46.84855,81.39531
46.85868,79.30762
46.86882,77.88847
46.87895,78.1747
46.88908,78.83858
46.89922,81.61377
46.90935,77.8611
46.91948,76.39217
46.92962,78.15347
46.93975,79.94431
46.94988,80.31966
46.96002,79.72762
46.97015,79.98875
46.98028,79.40419
46.99042,82.79362
47.00055,82.74734
47.0107,80.72151
47.02083,81.07207
47.03097,85.1725
47.0411,87.24734
47.05123,91.418
47.06137,84.42053
47.0715,90.57521
47.08163,85.31268
47.09177,89.50804
47.1019,85.98416
47.11203,85.36809
47.12217,84.5322
